batter,runs,balls,strike_rate,bowler,wickets,fantasy_score
G Gambhir,4217.0,3524.0,119.66515323496027,,0.0,355.3097729852441
MK Pandey,4021.0,3406.0,118.05637110980622,,0.0,339.3884556664709
YK Pathan,3222.0,2334.0,138.04627249357327,YK Pathan,46.0,333.66694087403596
B Kumar,354.0,392.0,90.3061224489796,B Kumar,243.0,333.4659183673469
RR Pant,3879.0,2739.0,141.6210295728368,,0.0,331.5631544359255
R Ashwin,833.0,728.0,114.42307692307692,R Ashwin,205.0,329.80346153846153
KH Pandya,1982.0,1539.0,128.78492527615336,KH Pandya,111.0,311.07773879142303
Ishan Kishan,3600.0,2579.0,139.58898797983716,Ishan Kishan,0.0,308.9383481969756
PP Chawla,624.0,580.0,107.58620689655172,PP Chawla,201.0,307.25793103448274
GJ Maxwell,2820.0,1896.0,148.73417721518987,GJ Maxwell,45.0,301.9101265822785
YS Chahal,37.0,89.0,41.57303370786517,YS Chahal,242.0,299.5959550561798
JH Kallis,2427.0,2291.0,105.93627237014405,JH Kallis,74.0,298.8504408555216
Rashid Khan,635.0,432.0,146.99074074074073,Rashid Khan,187.0,297.24861111111113
Q de Kock,3444.0,2618.0,131.55080213903742,,0.0,295.2526203208556
Yuvraj Singh,2754.0,2207.0,124.78477571363842,Yuvraj Singh,39.0,285.83771635704574
DA Miller,3288.0,2441.0,134.69889389594428,,0.0,283.24483408439164
Harbhajan Singh,833.0,636.0,130.9748427672956,Harbhajan Singh,161.0,279.48622641509434
N Rana,3078.0,2314.0,133.01642178046674,N Rana,11.0,279.39246326707
JJ Bumrah,75.0,89.0,84.26966292134831,JJ Bumrah,208.0,268.24044943820223
A Mishra,381.0,440.0,86.5909090909091,A Mishra,183.0,263.06863636363636
MP Stoinis,2242.0,1588.0,141.18387909319898,MP Stoinis,48.0,258.13758186397985
WP Saha,2934.0,2368.0,123.90202702702702,,0.0,253.30530405405406
BB McCullum,2882.0,2272.0,126.84859154929578,,0.0,249.58728873239437
